Agency,Commodity,Supplier,Ordered Date,PO_#,PO Amount,OBJECTID
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9981800:Books, All Types (Library, School, etc.)",Mt Library Services dba Junior,27-Feb-15,PO516210,201,153
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2001376:TEE SHIRTS, YOUTH, CREW NECK",CHARLES BROWN INC,5-Nov-14,PO509499,29.85,154
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4505530:LOCK, FILE CABINET",MDM Office Systems DBA Standard Office Supply,20-Oct-14,PO507701,591.58,155
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",NIENHUIS MONTESSORI USA INC,21-Nov-14,PO511087,7.5,156
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151034:BOOKS, MISCELLANEOUS (BY TITLE OR PUBLISHER)",INTAC INC,10-Nov-14,PO510015,29.7,157
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,23.44,158
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",HOUGHTON MIFFLIN CO INC,12-Dec-14,PO512572,162.99,159
OFFICE ON LATINO AFFAIRS,9625800:Professional Services (Not Otherwise Classified),GALA HISPANIC THEATER,24-Nov-14,PO511145,45000,160
OFFICE OF THE CHIEF MEDICAL EXAMINER,"6157343:FOLDERS, EXPANSION, RECYCLED",ALS OFFICE PRODUCTS,23-Oct-14,PO508166,6000,161
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK","CDW Government, Inc.",30-Jan-15,PO514947,200,162
METROPOLITAN POLICE DEPARTMENT,"9204531:MAINTENANCE AND SUPPORT, SOFTWARE, MAINFRAME",AUDIO VISUAL INNOVATIONS INC,1-Oct-14,PO505326,29462.98,163
DEPUTY MAYOR FOR PUBLIC SAFETY & JUSTICE,"9610200:Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)",MEN CAN STOP RAPE,3-Oct-14,PO506085,153321.5,164
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,KADCON CORPORATION,27-Oct-14,PO508467,434286,165
OFFICE OF THE CHIEF FINANCIAL OFFICER,"2048900:Scanners and Readers, Magnetic Strip",Eastman Park Micrographics Inc,22-Oct-14,PO507978,19817.75,166
DISTRICT DEPARTMENT OF THE ENVIRONMENT,"2094650:SOFTWARE, MAINFRAME, EXPERT, LATEST VERSION OR RELEASE LISTED",StreamLink Software,30-Jan-15,PO514922,8990,167
DEPARTMENT OF PUBLIC WORKS,"9610200:Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)",MIDTOWN PERSONNEL INC,8-Jan-15,PO505461-V3,48000,168
SPECIAL EDUCATION TRANSPORTATION,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,DOCUMENT SYSTEMS INC,8-Oct-14,PO506694,162427.68,169
CHILD AND FAMILY SERVICES AGENCY,9187400:Legal Consulting,CHERYL M. GAINES,6-Oct-14,PO506225,5000,170
OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,Capital Reporting Company,6-Oct-14,PO489312-V3,316.2,171
EQUIPMENT LEASE - CAPITAL,"9989400:Vehicles, Including Automobiles, Trucks, Trailers, Vans, Motor Homes, Motorcycles and Scooters, etc. (See 998-20 for Buses)",GENERAL SERVICE ADMINISTRATION,23-Feb-15,PO514961-V2,79062.8,172
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,ENVIRONMENTAL DESIGN &,11-Feb-15,PO515519,259480,173
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,VIRCO INC.,8-Jan-15,PO513805,128394.35,174
OFFICE OF THE CHIEF FINANCIAL OFFICER,"9242500:For Credit Classes, Seminars, Workshops, etc.",GRADUATE SCHOOL USDA,1-Dec-14,PO511633,3585,175
OFFICE OF THE CHIEF FINANCIAL OFFICER,"9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING","Advance Digital Systems, Inc.",14-Oct-14,PO507095,64516.66,176
OFFICE OF CONTRACTING AND PROCUREMENT,"0704881:TRUCKS, UTILITY, REGULAR SIZE","K. NEAL INTERNATIONAL TRUCK, I",3-Mar-15,PO516367,52499,177
DEPARTMENT OF MOTOR VEHICLES,"2045457:MICROCOMPUTERS, NOTEBOOK",Dell Computer Corp.,23-Dec-14,PO513292,6299.88,178
DEPARTMENT OF MOTOR VEHICLES,"2045457:MICROCOMPUTERS, NOTEBOOK",Dell Computer Corp.,23-Dec-14,PO513293,799.84,179
METROPOLITAN POLICE DEPARTMENT,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",25-Nov-14,PO505291-V2,69558.05,180
DEPUTY MAYOR FOR PUBLIC SAFETY & JUSTICE,"9610200:Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)",Columbia Heights Shaw Collabrative,9-Oct-14,PO506749,150000,181
DEPARTMENT OF PUBLIC WORKS,"9852659:PHOTOCOPIERS, RENTAL OR LEASE, NEW OR REMANUFACTURED, CONFIGURATION 8, ENLARGEMENT/REDUCTION CAPABILITY, FULLY-AUTOMATED DOCUMENT FEEDER, 20-BIN SORTER",PAGE AFTER PAGE BUS SYS,18-Dec-14,PO513062,15600,182
DEPARTMENT OF PUBLIC WORKS,9758800:Utility Vehicle Rental or Lease,Enterprise RAC of Maryland,10-Oct-14,PO507018,110450.76,183
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",LASER ART INC,22-Jan-15,PO514457,40.96,184
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,ALFORD PSYCHOLOGICAL CONSULTIN,21-Jan-15,PO514397,650,185
D.C. NATIONAL GUARD,"9242500:For Credit Classes, Seminars, Workshops, etc.",Columbia Southern University,30-Jan-15,PO514925,1280,186
D.C. NATIONAL GUARD,"9242500:For Credit Classes, Seminars, Workshops, etc.",WEBSTER UNIVERSITY,10-Feb-15,PO515381,660,187
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9628600:Transportation of Goods and other Freight Services,Paige International,17-Dec-14,PO512921,675,188
DEPARTMENT OF BEHAVIORAL HEALTH,"6453382:PAPER, COPY, RECYCLED STOCK, WITH 50% OF ITS TOTAL WEIGHT CONSISTING OF SECONDARY AND POST CONSUMER WASTE MINIMUM AND 10% OF ITS TOTAL WEIGHT CONSISTING OF POST CONSUMER WASTE MINIMUM",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,6-Oct-14,PO506271,2919.2,189
DEPARTMENT OF HEALTH CARE FINANCE,9462000:Auditing,WILLIAMS ADLEY & COMPANY LLP,7-Nov-14,PO509817,32568.86,190
DEPARTMENT OF PARKS AND RECREATION,9620500:Amusement and Entertainment Services (Incl. Performing Arts Professionals),SKI LIBERTY OPERATING CORPORAT,8-Jan-15,PO513838,3950,191
DEPARTMENT OF CORRECTIONS,"0957700:Recycled Barber and Beauty Shop Sundries, Accessories and Supplies",ACTION BEAUTY SUPPLY CO. INC.,24-Nov-14,PO511195,46,192
DEPARTMENT OF CORRECTIONS,"9846025:RENTAL OR LEASE, DIGITAL PRINTER SYSTEMS, INCLUDES MAINTENANCE","MVS, Inc.",27-Oct-14,PO508511,1214,193
DEPARTMENT OF HEALTH,9625800:Professional Services (Not Otherwise Classified),Martina Estella Martin,6-Feb-15,PO515266,34638,194
DEPARTMENT OF TRANSPORTATION,"9136600:Maintenance and Repair, Bridges",FLEETPRO INC.,22-Oct-14,PO492223-V2,140016.4,195
DEPUTY MAYOR FOR PLANNING AND ECON DEV,"9612800:Economic Development, Domestic and Foreign",De Colores Learning Center Inc,6-Feb-15,PO515261,85000,196
FIRE AND EMERGENCY MEDICAL SERVICES,9986700:Medical and Dental Equipment and Supplies,District Supply Inc.,12-Dec-14,PO512607,9077.25,197
FIRE AND EMERGENCY MEDICAL SERVICES,9986700:Medical and Dental Equipment and Supplies,MEDICAL SUPPLY SYSTEMS INC,8-Jan-15,PO513852,13350,198
FIRE AND EMERGENCY MEDICAL SERVICES,"3933027:BEVERAGES, THIRST QUENCHING (GATORADE OR EQUAL)",MORGANS INC,8-Dec-14,PO512182,3240,199
STATE SUPERINTENDENT OF EDUCATION (OSSE),"2045446:MICROCOMPUTERS, LAPTOP",Dell Computer Corp.,23-Dec-14,PO513308,9664.5,200
DC PUBLIC LIBRARY,"0523200:Fabric Designs (Silk Screen, etc.)",HUNT GRAPHICS/SIGN BY TOMORROW,31-Oct-14,PO508968,300,201
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2001075:SHIRTS, ATHLETIC, TANK TOP, 100% COTTON, 5.6 OZ., SHOULDER STRAPS",Formost Advanced Creations,22-Oct-14,PO507973,240,202
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6156230:PADS, BOND PAPER, FOR USE ON EASEL, WHITE",MDM Office Systems DBA Standard Office Supply,26-Feb-15,PO516174,325.45,203
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9983800:Engineering Equipment and Supplies (Including Survey Equipment and Instruments),"ANDYMARK, INC",16-Dec-14,PO512740,720,204
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"5801010:BAND INSTRUMENTS, STUDENT GRADE",Middle C Music Corp.,12-Nov-14,PO510064,31.68,205
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7152000:Catalog Cards, Library of Congress Type and other Types","SCHOLASTIC, INC.",17-Nov-14,PO510548,394.2,206
DEPARTMENT OF HUMAN SERVICES,6007240:FAX MACHINE/COPIER/SCANNER/COLOR PRINTER COMBINATION,"HP Electronics, Inc.",2-Mar-15,PO515129-V2,0,207
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6453943:PAPER, DUPLICATOR, NO. 4, FOR USE IN XEROX COPIER","SKY,LLC DBA/US-OFFICE SOLUTION",13-Nov-14,PO510214,1159.6,208
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2045446:MICROCOMPUTERS, LAPTOP",APPLE COMPUTER INC,11-Feb-15,PO515541,1332,209
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7853200:Classroom Equipment and Supplies (Not Otherwise Classified),THE PROPHET CORPORATION,6-Feb-15,PO515278,76.56,210
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,0207800:Recycled Agricultural Equipment Accessories and Supplies,SCHOOL SPECIALTY,16-Jan-15,PO514253,380.25,211
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7857000:Instructional Aids: Courses, Lesson Plans (Prepared), Programs, Ancillary Materials, Videos, etc. (See Class 715 for Textbooks)",HOUGHTON MIFFLIN CO INC,22-Jan-15,PO514442,1151.02,212
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9611500:Concessions, Catering, Vending: Mobile and Stationary",GEPPETTO CATERING INC,6-Nov-14,PO509683,35,213
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,29.02,214
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",General Merchandise Supplies,20-Oct-14,PO507696,1104,215
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,PAIGE INDUSTRIAL SERVICES,13-Jan-15,PO514047,150000,216
DEPARTMENT OF GENERAL SERVICES,"9415500:HVAC Systems Maintenance and Repair, Power Plant",W S JENKS & SON,20-Feb-15,PO515907,125000,217
METROPOLITAN POLICE DEPARTMENT,9815600:Police Equipment Supplies Rental or Lease,"Atlantic Tactical, Inc",27-Jan-15,PO514654,161.97,218
METROPOLITAN POLICE DEPARTMENT,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",25-Nov-14,PO505679-V2,109531.39,219
DEPUTY MAYOR FOR PUBLIC SAFETY & JUSTICE,"9610200:Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)","Finn Partners, Inc.",28-Jan-15,PO506241-V2,73978.84,220
DISTRICT DEPARTMENT OF THE ENVIRONMENT,9751440:AUTOMOBILE RENTAL OR LEASE SERVICES,"ZIPCAR, INC.",15-Oct-14,PO507249,15000,221
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",LASER ART INC,15-Jan-15,PO514211,14.64,222
HOMELAND SECURITY/EMERGENCY MANAGEMENT,"9611500:Concessions, Catering, Vending: Mobile and Stationary",DUTCHMILL CATERERS,24-Nov-14,PO511213,15000,223
OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,SUPERIOR COURT OF DC,28-Oct-14,PO508630,30.6,224
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",8-Oct-14,PO506633,6740,225
OFFICE OF THE D.C. AUDITOR,"9623352:ENGRAVING, PLASTIC NAME PLATES AND SIGNS, WITH OR WITHOUT ADHESIVE, ONE SIDE ONLY",THOMAS E. HENDERSON DBA LT Printing and Promotion,4-Feb-15,PO515172,44.4,226
DEPARTMENT OF EMPLOYMENT SERVICES,9520738:DRUG AND ALCOHOL SCREENING TESTS,B & W STAT LABORATORY,13-Nov-14,PO510194,60000,227
PUBLIC SERVICE COMMISSION,"9625900:Parking Services: Operation, Admission, Supervision",Mid-Atlantic Parking Services,8-Jan-15,PO506065-V3,6762.84,228
OFFICE OF THE MAYOR,9180600:Administrative Consulting,SPORTS4KIDS,17-Nov-14,PO510451,146300,229
DEPUTY MAYOR FOR PUBLIC SAFETY & JUSTICE,"2045340:MICROCOMPUTERS, DESKTOP",Dell Computer Corp.,31-Dec-14,PO513638,4169.68,230
OFFICE ON AGING,"CASTERS, TABLE, CONFERENCE/SEMINAR",ANCHORED PRODUCTIONS,3-Feb-15,PO515077,9325,231
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",LASER ART INC,15-Jan-15,PO514211,179.4,232
DEPARTMENT OF FORENSICS SCIENCES,"6908400:Test Equipment, Analog and Digital",RAYTHEON COMPANY,23-Feb-15,PO515967,2425,233
OFFICE OF THE CHIEF FINANCIAL OFFICER,"9155957:PICKUP CHARGES, CARRIER (EXPRESS MAIL)",FEDERAL EXPRESS,16-Oct-14,PO484083-V2,511.71,234
OFFICE OF THE CHIEF FINANCIAL OFFICER,"2044228:CARDS, ADAPTER, TAPE BACKUP, MICROCOMPUTER",FIRST FEDERAL CORPORATION,8-Dec-14,PO512190,27263.28,235
DEPARTMENT OF PUBLIC WORKS,"9852659:PHOTOCOPIERS, RENTAL OR LEASE, NEW OR REMANUFACTURED, CONFIGURATION 8, ENLARGEMENT/REDUCTION CAPABILITY, FULLY-AUTOMATED DOCUMENT FEEDER, 20-BIN SORTER",PAGE AFTER PAGE BUS SYS,19-Dec-14,PO513221,6500,236
SPECIAL EDUCATION TRANSPORTATION,"9282450:MAINTENANCE AND REPAIR, SCHOOL BUSES","KNeal Idealease, Inc",16-Oct-14,PO507390,500000,237
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,SUPERIOR COURT OF DC,10-Feb-15,PO515403,121.25,238
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,9625800:Professional Services (Not Otherwise Classified),CENTER FOR STUDY OF SERVICES,30-Dec-14,PO511892-V2,80000,239
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,TRAINING SOFTWARE FOR COMPUTER SOFTWARE,CMP MEDIA LLC,17-Nov-14,PO510507,3290,240
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","MVS, Inc.",23-Feb-15,PO515959,429.03,241
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","SUPRETECH, INC.",5-Nov-14,PO508413-V2,862.56,242
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9183000:Computer Network Consulting,"OST, Inc.",9-Dec-14,PO505626-V2,120717.12,243
D.C. NATIONAL GUARD,"9242500:For Credit Classes, Seminars, Workshops, etc.",LIBERTY UNIVERSITY,10-Feb-15,PO515388,1500,244
D.C. NATIONAL GUARD,"9242500:For Credit Classes, Seminars, Workshops, etc.",ASHFORD UNIVERSITY LLC,22-Dec-14,PO513235,1644,245
DEPARTMENT OF EMPLOYMENT SERVICES,9525900:Human Services (Not Otherwise Classified),"Westlink Career Institute, LLC",12-Dec-14,PO510080-V2,2225,246
DEPARTMENT OF EMPLOYMENT SERVICES,"2008598:UNIFORMS, BUSINESS AND WORK (VARIOUS), MEN AND WOMEN",MORGANS INC,23-Dec-14,PO507194-V2,239.5,247
DEPARTMENT OF BEHAVIORAL HEALTH,"0801031:CARDS, IDENTIFICATION (I.D.), PRINTER OR STRAIGHT CUT (REGULAR), INSTANT COLOR PHOTO","IDENTISYS,INC",25-Nov-14,PO511389,90,248
DEPARTMENT OF BEHAVIORAL HEALTH,7707224:ROOFING ACCESSORIES AND SUPPLIES,ARJ GROUP INC,24-Nov-14,PO511162,38200,249
DEPARTMENT OF BEHAVIORAL HEALTH,9589600:Waste Management Services,STERICYCLE INC,1-Oct-14,PO505889,7559.93,250
DEPARTMENT OF BEHAVIORAL HEALTH,"2086130:SOFTWARE, MICROCOMPUTER, SCANNER, IBM COMPATIBLE, LATEST RELEASE OR VERSION LISTED","Beachhead Solutions, Inc./",1-Oct-14,PO505558,13055,251
DEPARTMENT OF PARKS AND RECREATION,"2324200:Kits and Supplies: Foil, Tin, etc.",EMERGENCY 911 SECURITY,21-Nov-14,PO511021,30.54,252
DEPARTMENT OF HEALTH CARE FINANCE,9183200:Consulting Services (Not Otherwise Classified),"OST, Inc.",3-Dec-14,PO507215-V2,171695.04,253
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",GALA HISPANIC THEATER,31-Oct-14,PO509033,24266,254
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",EDMUND R. BAKER,28-Oct-14,PO508548,5000,255
DEPARTMENT OF TRANSPORTATION,9183800:Education and Training Consulting,The Washington Consulting Team,18-Nov-14,PO510625,50000,256
"DEPART OF INSURANCE,SECURITIES & BANKING","9635700:Postage Related Purchases (Incl. Postage Stamps, Pre-Sort 1st Class Inscriptions, Postage by Phone for Meters, etc.)",PITNEY BOWES,31-Oct-14,PO509076,30000,257
OFFICE OF UNIFIED COMMUNICATIONS,9204600:Software Updating Services,Eaton Corporation,9-Oct-14,PO506851,13597,258
STATE SUPERINTENDENT OF EDUCATION (OSSE),9710200:Athletic Facility Rental or Lease,THE MARYLAND-NATIONAL CAPITAL,28-Jan-15,PO514758,6900,259
STATE SUPERINTENDENT OF EDUCATION (OSSE),9625800:Professional Services (Not Otherwise Classified),"T.E.E.M., LLC.",8-Jan-15,PO513849,10000,260
DC PUBLIC LIBRARY,9150300:Advertising/Public Relations,CAPITAL COMMUNITY NEWS INC,27-Feb-15,PO509491-V2,440,261
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9152300:Conference Coordinating and Planning Services,Pearson & Company LLC,3-Feb-15,PO515010,250,262
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9816500:School Equipment and Supplies Rental or Lease,"FLAGHOUSE, INC.",24-Nov-14,PO511208,29,263
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"1250532:ADHESIVE, PADDING, FOR USE ON RECYCLED CARBONLESS PAPER",J W PEPPER & SON INC,10-Nov-14,PO510013,27.8,264
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7853200:Classroom Equipment and Supplies (Not Otherwise Classified),APPLE COMPUTER INC,29-Dec-14,PO513514,79,265
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7858700:Resource Books and Materials (Not Otherwise Classified),BENCHMARK EDUCATION COMPANY,25-Nov-14,PO511254,95,266
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9983800:Engineering Equipment and Supplies (Including Survey Equipment and Instruments),DIVERSIFIED EDUCATIONAL SYSTEM,24-Dec-14,PO513374,159.5,267
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9982400:Chemicals, All Types",WARDS NATURAL SCIENCE,30-Dec-14,PO513597,38.61,268
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9155848:LABELING AND MAILING SERVICES, INCLUDING AFFIXING LABELS TO SELF-MAILERS OR ENVELOPES AND MAILING (LABELS AND ENVELOPES TO BE FURNISHED BY THE AGENCY/DEPT.) COST OF POSTAGE TO BE PAID DIRECT TO THE POST OFFICE BY AGENCY","SCHOLASTIC, INC.",16-Jan-15,PO514268,38.87,269
DEPARTMENT OF HUMAN SERVICES,9523700:Emergency Shelter,THE COMMUNITY PARTNERSHIP\HOME,1-Dec-14,PO511653,603392.17,270
DEPARTMENT OF HUMAN SERVICES,9852691:RENTAL OF XEROX COPY MACHINE PARTS AND ACCESSORIES (XEROX OR EQUAL),XEROX CORPORATION,6-Nov-14,PO509625,6384,271
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7854400:Displays, Educational: Kits, Models, Plaques, etc.",BSN SPORTS,18-Feb-15,PO515755,65,272
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2003496:UNIFORMS, HOSPITAL, PROFESSIONAL",MORGANS INC,10-Dec-14,PO512405,841,273
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6453337:PAPER, COPIER, MULTI-PURPOSE","SKY,LLC DBA/US-OFFICE SOLUTION",26-Feb-15,PO516173,2899,274
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7158500:Textbooks: Kindergarten thru 5th Grade (Includes Student and Teacher Editions),WILSON LANGUAGE TRAINING CORP.,16-Dec-14,PO512745,3240,275
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4851048:BRUSHES/MOPS, COMMODE/TOILET",General Merchandise Supplies,20-Oct-14,PO507692,59.94,276
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"WEIGHTLIFTING, FREE WEIGHTS, SETS, OLYMPIC STYLE, MADE TO AAU/IWF SPECIFICATIONS, COMPLETE W/APPROX. 86 IN. L/28.5MM (1-1/8 IN.) OLYMPIC STYLE BAR W/REVOLVING SLEEVES, NON-RUST FINISH AND SPINLOCK COLLARS, COATED WEIGHTS MARKED IN LBS AND KILOS, B",MDM Office Systems DBA Standard Office Supply,20-Oct-14,PO507701,18.53,277
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2012553:BELTS, WOMENS, UNIFORM, DRESS, MODIFIED",PEMBROKE WEST ASSOCIATES INC,3-Feb-15,PO515012,50,278
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9611500:Concessions, Catering, Vending: Mobile and Stationary",DUTCHMILL CATERERS,7-Oct-14,PO506333,49.5,279
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2045327:COMPUTER SYSTEM (CPU, MONITOR, AND KEYBOARD)",Dell Computer Corp.,20-Feb-15,PO515855,4603.65,280
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247400:Special Education,MAYER-JOHNSON LLC,7-Oct-14,PO506469,5920.25,281
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"1250532:ADHESIVE, PADDING, FOR USE ON RECYCLED CARBONLESS PAPER",General Merchandise Supplies,24-Nov-14,PO511198,129,282
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7158500:Textbooks: Kindergarten thru 5th Grade (Includes Student and Teacher Editions),SINGAPOREMATH.COM,12-Feb-15,PO515571,106,283
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,4856500:Janitorial Equipment and Supplies (Not Otherwise Classified),MORGANS INC,29-Dec-14,PO513474,59.85,284
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",FOLLETT SCHOOL SOLUTIONS,9-Feb-15,PO515299,16.19,285
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9611500:Concessions, Catering, Vending: Mobile and Stationary",GEPPETTO CATERING INC,6-Nov-14,PO509683,67.5,286
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9247800:Teaching and Instruction Services  (Including Elementary and Secondary Education, Higher Education and Adult Education)",FOLLETT SCHOOL SOLUTIONS,17-Dec-14,PO512870,555,287
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9247800:Teaching and Instruction Services  (Including Elementary and Secondary Education, Higher Education and Adult Education)",THE GREAT BOOKS FOUNDATION,5-Feb-15,PO515204,908.2,288
COUNCIL OF THE DISTRICT OF COLUMBIA,"9660722:PRINTING OF BUSINESS CARDS, ONE COLOR, WHITE SMOOTH FINISH PAPER","SENODA, INC.",24-Oct-14,PO508341,180,289
EQUIPMENT LEASE - CAPITAL,"2046460:RACKS, FOR NETWORK COMPONENTS","Networking For Future, Inc.",6-Feb-15,PO512450-V2,15120,290
OFFICE OF THE CHIEF MEDICAL EXAMINER,"MAINTENANCE, SCANNER EQUIPMENT",DIGI DOCS INC DOCUMENT MGERS,26-Feb-15,PO516172,8000,291
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",LASER ART INC,17-Nov-14,PO510458,110.3,292
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",LASER ART INC,10-Feb-15,PO515423,10.34,293
OFFICE ON AGING,9523000:Delivered Meals (Including Shelf Stable Meals),Purfoods llc dba Moms Meals,23-Jan-15,PO506343-V3,1742444,294
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,BLUE SKYE CONSTRUCTION LLC,11-Feb-15,PO515491,473563,295
DEPARTMENT OF GENERAL SERVICES,"9203200:Intelligent Transportation System Software (To Include Design, Development, and Maintenance Services)","Assured Telematics, Inc.",1-Dec-14,PO511640,11521.8,296
CHILD AND FAMILY SERVICES AGENCY,9183800:Education and Training Consulting,"SUM TOTAL SYSTEMS, INC.",11-Feb-15,PO515535,286505,297
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",CA INC.,7-Oct-14,PO506336,30960.2,298
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","Networking For Future, Inc.",21-Nov-14,PO510994,3617.84,299
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","SUPRETECH, INC.",5-Nov-14,PO508413-V2,619.86,300
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9068400:Telecommunications Systems (Telephone, Radio, etc.) - Architectural",Smart TV Services Inc.,4-Nov-14,PO509335,1080.27,301
TAXI CAB COMMISSION,9625800:Professional Services (Not Otherwise Classified),MIDTOWN PERSONNEL INC,25-Feb-15,PO508659-V2,75000,302
OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,Capital Reporting Company,2-Dec-14,PO507164-V2,663,303
